sport,book_needs_team,book_needs_price,book_needs_opponent,square_team,square_price,square_opponent
MLB,COLORADO,+125,CUBS,CUBS,-155,COLORADO
MLB,BALTIMORE,-100,SEATTLE,SEATTLE,-120,BALTIMORE
MLB,CLEVELAND,+115,NY YANKEES,NY YANKEES,-135,CLEVELAND
MLB,WHITE SOX,+125,ATLANTA,ATLANTA,-150,WHITE SOX
MLB,SAN DIEGO,+105,,
MLB,BOSTON,-120,,
